Title;Year;Country;Length;Code;Remarks
Saving Private Ryan;1998;USA;163;2;
Schindler's List;1993;USA;187;2;
Schtonk!;1992;DE;110;2;
Schuh des Manitu, Der;2001;DE;82;2;Deluxe Widescreen Edition
Schweizermacher, Die;1978;CH;104;2;
Seabiscuit;2003;USA;134;2;
Sen to Chihiro no Kamikakushi - Spirited Away;2001;JP;124;2;
Seven;1995;USA;127;2;
Shaft;2000;DE, USA;97;2;
Shakespeare in Love;1998;USA, UK;119;2;
Shawshank Redemption, The;1994;USA;137;2;
Shine;1995;AUS;101;2;keine deutschen Untertitel
Shipping News, The;2001;USA, CAN;106;2;
Shrek;2001;USA;87;2;
Shrek 2;2004;USA;89;2;
Simple Plan, A;1998;USA;117;2;
Simpsons, The - Season 1;1989;USA;390;2;
Simpsons, The - Season 2;1990;USA;490;2;
Simpsons, The - Season 3;1992;USA;552;2;
Sixth Sense, The;1999;USA;103;2;
Smoke;1995;DE, USA;112;2;Boxed: Smoke & Blue in the Face
Snatch;2000;UK, USA;99;2;
Sonnenallee;1999;DE;85;2;
South Park: The Movie;1999;USA;78;2;
Space Balls;1987;USA;92;2;
Spring, Summer, Fall, Winter... and Spring;2003;Kor;98;2;
Star Wars: Episode I - The Phantom Menace;1999;USA;133;2;
Star Wars: Episode II - Attack of the Clones;2002;USA;137;2;Special Edition
Star Wars: Episode IV: A New Hope;1977;USA;120;2;Star Wars Trilogie
Star Wars: Episode V - The Empire Strikes Back;1980;USA;124;2;Star Wars Trilogie
Star Wars: Episode VI - Return of the Jedi;1983;USA;131;2;Star Wars Trilogie
Station Agent, The;2003;USA;90;2;
Sting, The - Der Clou;1973;USA;124;2;
Sting: Inside the Songs of Sacred Love;2003;-;77;2;
Syriana;2005;USA;122;2;
Tampopo;1985;JP;110;2;
Terminator 2;1991;USA;147;2;Ultimate Edition (Silberbox)
The Departed;2006;USA/HK;145;1;
There's Something about Mary;1998;USA;114;2;
Thomas Crown Affair, The;1999;USA;108;2;
Three Kings;1999;USA;111;2;
To Live;1994;China, HK;133;2;
Todo Sobre Mi Madre - Alles über meine Mutter;1999;ESP, FR;1999;2;
